id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
91135205,2021-08-14,2021-08-14 16:46:00 +0200,research,https://static.inaturalist.org/photos/150699128/medium.jpeg,,50.8501000229,5.7120390236,Maastricht,Limburg,Turdus merula,Eurasian Blackbird,12716,Turdidae
91830279,2021-08-20,2021-08-20 11:27:45 +0200,research,https://static.inaturalist.org/photos/151960938/medium.jpeg,,52.3970227687,4.9422641471,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
91941472,2021-08-21,2021-08-21 10:35:00 +0200,research,https://static.inaturalist.org/photos/152159421/medium.jpeg,,52.4443818719,5.9521400914,Oldebroek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
92223514,2017-07-22,2017-07-22 15:21:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/152666097/medium.jpeg,,52.1178163889,5.9194113889,Apeldoorn,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
92223526,2017-07-27,2017-07-27 16:41:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/152666961/medium.jpeg,,52.1747030556,5.8314,Apeldoorn,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
92223527,2017-07-27,2017-07-27 16:43:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/152666980/medium.jpeg,,52.1746613889,5.8313830556,Apeldoorn,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
92498547,2021-08-24,2021-08-24 19:08:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/153164059/medium.jpeg,,52.24669,4.46234,Noordwijkerhout,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
93109543,2015-12-17,2015-12-17 15:12:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/154270557/medium.jpeg,,52.3736478914,4.9069789897,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
93341006,2021-08-29,2021-08-29 12:07:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/154692869/medium.jpeg,,51.7876287652,5.9210025142,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
93350035,2021-09-01,2021-09-01 16:09:57 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/154708772/medium.jpeg,,52.4709362121,5.3850606456,Lelystad,Flevoland,Turdus merula,Eurasian Blackbird,12716,Turdidae
94224934,2020-10-25,2020-10-25 18:29:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/156280183/medium.jpg,,51.863947,5.2813551,Geldermalsen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
94224974,2020-10-25,2020-10-25 18:30:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/156280268/medium.jpg,,51.863947,5.2813551,Geldermalsen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
94228378,2020-10-25,2020-10-25 18:18:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/156286280/medium.jpg,,51.863947,5.2813551,Geldermalsen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
94335749,2021-07-15,2021-07-15 15:35:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/156433920/medium.jpg,,53.4021788,6.4408587997,De Marne,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
95515462,2021-05-13,2021-05-13 16:11:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/158578676/medium.jpeg,,51.9880741857,5.7275864288,Renkum,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
95861246,2019-04-17,2019-04-17 18:30:00 +0200,research,https://static.inaturalist.org/photos/159191831/medium.jpeg,,52.3600857859,4.9204906449,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
95896537,2013-06-15,2013-06-15 10:54:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/159253896/medium.jpg,,50.8438743561,5.69402569,Maastricht,Limburg,Turdus merula merula,Western European Blackbird,341569,Turdidae
95950337,2021-09-01,2021-09-01 13:40:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/159350305/medium.png,,52.3675734,4.9041389,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
97368242,2021-10-06,2021-10-06 14:56:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/161921090/medium.jpeg,,51.787606062,5.9210212897,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
98273878,2021-01-25,2021-01-25 04:30:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/255556457/medium.jpg,,52.2271762982,5.1645415631,Hilversum,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
98304799,2018-03-30,2018-03-30 15:02:00 +0200,research,https://static.inaturalist.org/photos/163637811/medium.jpeg,,53.2564430237,5.7626290321,Leeuwarderadeel,Friesland,Turdus merula,Eurasian Blackbird,12716,Turdidae
98346928,2017-11-10,2017-11-10 18:25:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/163719201/medium.jpg,,52.3701944444,4.9021916667,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
98787312,2021-10-17,2021-10-17 10:31:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/164551837/medium.jpeg,,51.5662401431,5.9544611005,Boxmeer,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
99209719,2021-03-30,2021-03-30 12:36:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/165335444/medium.jpg,,52.2631466667,7.0372816667,Losser,Overijssel,Turdus merula,Eurasian Blackbird,12716,Turdidae
99386344,2021-09-19,2021-09-19 18:37:06 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/165664309/medium.jpg,,52.2533233011,5.2311644289,Laren,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
99437775,2021-10-26,2021-10-26 09:57:31 +0200,research,https://static.inaturalist.org/photos/165760883/medium.jpg,,51.5601558875,4.6312281195,Etten-Leur,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
99984843,2021-05-09,2021-05-09 12:52:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/166802539/medium.jpeg,,51.7067383333,3.7217466667,Schouwen-Duiveland,Zeeland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100260625,2021-11-04,2021-11-04 13:48:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/167311847/medium.jpeg,,51.7876262765,5.9210427474,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100306086,2021-11-03,2021-11-03 09:30:41 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/167394342/medium.jpeg,,52.0333690648,4.5305883139,Bleiswijk,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100383445,2021-11-03,2021-11-03 09:35:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/167533080/medium.png,,52.3543375043,6.6629481751,Almelo,Overijssel,Turdus merula,Eurasian Blackbird,12716,Turdidae
100669950,2021-11-09,2021-11-09 10:09:44 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/168051375/medium.jpg,,52.0849118587,4.3267497989,'s-Gravenhage,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100673969,2021-11-09,2021-11-09 11:56:28 +0100,research,https://static.inaturalist.org/photos/168058153/medium.jpg,,52.0895298299,4.3300833169,'s-Gravenhage,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100774984,2021-11-10,2021-11-10 10:50:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/168227089/medium.jpg,,52.9212247997,6.2254258,Weststellingwerf,Friesland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100848635,2021-11-11,2021-11-11 12:38:33 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/168360512/medium.jpeg,,52.059694,4.46817,Zoetermeer,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
100923478,2021-05-24,2021-05-24 10:59:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/168493960/medium.jpeg,,50.799060387,5.7402848027,Eijsden,Limburg,Turdus merula,Eurasian Blackbird,12716,Turdidae
101083974,2021-11-14,2021-11-14 11:32:57 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/168775629/medium.jpeg,,51.5447654724,4.1451873779,Tholen,Zeeland,Turdus merula,Eurasian Blackbird,12716,Turdidae
101325330,2021-11-17,2021-11-17 14:00:45 +0100,research,https://static.inaturalist.org/photos/169210030/medium.jpeg,,51.6955859722,5.255485,'s-Hertogenbosch,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
102197942,2021-11-29,2021-11-29 16:32:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/170782910/medium.jpeg,,51.7745944258,5.9812148673,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102250975,2018-07-21,2018-07-21 11:38:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/170884546/medium.jpg,,53.2197175465,6.5688353082,Groningen,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
102369798,2021-12-02,2021-12-02 11:12:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171102757/medium.jpeg,,51.7876046653,5.9210454296,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102522080,2021-12-05,2021-12-05 10:25:10 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171400411/medium.jpeg,,52.438533783,5.9474124908,Oldebroek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102523039,2021-11-30,2021-11-30 13:07:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171402181/medium.jpg,,52.3924562798,4.9210943568,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102529032,2021-12-05,2021-12-05 14:00:52 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171413188/medium.jpeg,,52.9122758204,6.8132420629,Borger-Odoorn,Drenthe,Turdus merula,Eurasian Blackbird,12716,Turdidae
102718411,2021-12-08,2021-12-08 15:23:46 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171768694/medium.jpg,,52.1563305,4.48375,Leiden,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102718479,2021-12-08,2021-12-08 15:07:37 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171768785/medium.jpg,,52.1614221667,4.4853916667,Leiden,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
102829890,2021-12-06,2021-12-06 14:59:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/171969796/medium.jpeg,,52.2469481304,4.5617542863,Lisse,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
103333400,2021-08-14,2021-08-14 13:29:08 +0200,research,https://static.inaturalist.org/photos/172916732/medium.jpg,,53.3925672625,5.2911640579,Terschelling,Friesland,Turdus merula,Eurasian Blackbird,12716,Turdidae
103588775,2021-12-24,2021-12-24 12:49:22 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/173409201/medium.jpg,,52.9692583333,5.4121833333,158_6_146,IJsselmeer,Turdus merula,Eurasian Blackbird,12716,Turdidae
103720221,2021-12-25,2021-12-25 17:47:13 +0100,research,https://static.inaturalist.org/photos/173658089/medium.jpeg,,52.2010138607,5.9820868447,Apeldoorn,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
103761206,2021-12-27,2021-12-27 16:02:00 +0100,research,https://static.inaturalist.org/photos/173738878/medium.jpg,,53.3054378178,6.4647347308,Winsum,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
